Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2025-06-02T18:00:00+00:00,160.0,2.3,48.0,19830.0,0,1750.0,100330.0,3.7,-0.1,POITIERS-BIARD,21.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-05T12:00:00+00:00,200.0,9.5,71.0,19910.0,0,800.0,99890.0,15.3,-0.1,POITIERS-BIARD,18.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-10T12:00:00+00:00,190.0,2.0,36.0,17970.0,0,,100540.0,4.0,0.0,POITIERS-BIARD,27.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-04T18:00:00+00:00,240.0,6.3,68.0,60000.0,0,1250.0,99930.0,9.2,0.6,POITIERS-BIARD,16.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-10T21:00:00+00:00,340.0,1.6,60.0,19330.0,0,,100520.0,2.2,0.0,POITIERS-BIARD,21.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-14T18:00:00+00:00,310.0,5.2,54.0,60000.0,0,1750.0,100630.0,8.5,0.0,POITIERS-BIARD,22.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-05-31T21:00:00+00:00,220.0,3.8,92.0,18150.0,0,,100500.0,5.4,0.0,POITIERS-BIARD,17.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,5,2.500087253165825
07335,2025-06-04T06:00:00+00:00,190.0,4.9,89.0,53770.0,0,800.0,99760.0,6.8,0.0,POITIERS-BIARD,13.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-02T21:00:00+00:00,180.0,1.5,70.0,45240.0,0,1750.0,100290.0,2.4,-0.1,POITIERS-BIARD,15.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-07T06:00:00+00:00,210.0,4.6,93.0,19490.0,0,1250.0,100120.0,7.0,-0.1,POITIERS-BIARD,14.300000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-07T18:00:00+00:00,240.0,6.7,70.0,60000.0,0,1750.0,100150.0,10.5,-0.1,POITIERS-BIARD,17.80000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-07T21:00:00+00:00,230.0,4.0,93.0,7950.0,52,450.0,100300.0,5.3,0.2,POITIERS-BIARD,14.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-09T18:00:00+00:00,70.0,2.5,40.0,19130.0,0,,100680.0,4.5,0.2,POITIERS-BIARD,24.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-11T06:00:00+00:00,70.0,2.0,73.0,18860.0,0,,100300.0,3.7,0.0,POITIERS-BIARD,18.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-12T03:00:00+00:00,240.0,7.7,80.0,19740.0,0,800.0,99860.0,11.7,1.4,POITIERS-BIARD,20.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-14T00:00:00+00:00,310.0,1.9,80.0,44560.0,0,2250.0,100240.0,5.2,0.0,POITIERS-BIARD,21.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-05-31T15:00:00+00:00,220.0,5.6,61.0,11260.0,0,,100430.0,8.2,0.0,POITIERS-BIARD,26.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,5,2.500087253165825
07335,2025-06-03T09:00:00+00:00,290.0,2.8,57.0,20000.0,0,2250.0,100090.0,5.7,-0.1,POITIERS-BIARD,18.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-07T03:00:00+00:00,220.0,3.7,93.0,38040.0,0,1750.0,100100.0,5.6,4.8,POITIERS-BIARD,13.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-09T03:00:00+00:00,320.0,1.2,93.0,53360.0,0,,100940.0,1.7,0.0,POITIERS-BIARD,9.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
