Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2025-01-09T12:00:00+00:00,330.0,8.2,86.0,42820.0,0,450.0,99660.0,11.3,29.0,POITIERS-BIARD,7.800000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-01T15:00:00+00:00,190.0,8.0,94.0,15050.0,0,150.0,100940.0,10.8,0.0,POITIERS-BIARD,3.3000000000000114,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-02T12:00:00+00:00,330.0,4.3,97.0,8110.0,61,150.0,100350.0,5.9,12.3,POITIERS-BIARD,6.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-03T03:00:00+00:00,40.0,3.3,98.0,7680.0,0,150.0,100910.0,5.0,20.0,POITIERS-BIARD,4.2000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-04T15:00:00+00:00,190.0,3.4,100.0,8020.0,58,80.0,99680.0,4.9,3.4,POITIERS-BIARD,7.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-12T09:00:00+00:00,50.0,3.6,83.0,34910.0,0,,102400.0,5.7,0.0,POITIERS-BIARD,1.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-13T15:00:00+00:00,40.0,5.3,63.0,32750.0,0,,102200.0,7.9,0.0,POITIERS-BIARD,3.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-09T06:00:00+00:00,250.0,8.0,92.0,17600.0,0,450.0,98520.0,13.7,29.8,POITIERS-BIARD,11.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-06T21:00:00+00:00,220.0,7.1,88.0,13750.0,0,800.0,99190.0,11.3,2.0,POITIERS-BIARD,6.600000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-03T15:00:00+00:00,80.0,3.6,79.0,54130.0,0,800.0,100900.0,6.2,1.0,POITIERS-BIARD,3.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2024-12-31T21:00:00+00:00,190.0,3.5,99.0,1960.0,10,80.0,101550.0,5.8,0.0,POITIERS-BIARD,2.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,12,2.500087253165825
07335,2025-01-04T06:00:00+00:00,90.0,2.1,88.0,38180.0,0,1250.0,100280.0,4.2,0.0,POITIERS-BIARD,0.7000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-05T15:00:00+00:00,190.0,7.7,71.0,49200.0,0,3840.0,98550.0,11.2,4.1,POITIERS-BIARD,12.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-08T15:00:00+00:00,210.0,10.5,91.0,13170.0,61,800.0,98800.0,16.2,12.2,POITIERS-BIARD,11.800000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-09T15:00:00+00:00,310.0,5.9,73.0,59980.0,0,1750.0,100220.0,8.9,26.2,POITIERS-BIARD,7.400000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-10T00:00:00+00:00,90.0,0.9,91.0,11050.0,0,1750.0,100630.0,1.7,23.0,POITIERS-BIARD,5.2000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-10T15:00:00+00:00,80.0,1.5,98.0,17250.0,0,80.0,100130.0,2.3,9.1,POITIERS-BIARD,5.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-08T18:00:00+00:00,210.0,9.1,91.0,43080.0,0,450.0,98780.0,13.4,11.0,POITIERS-BIARD,12.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-09T21:00:00+00:00,200.0,1.5,93.0,19990.0,0,3540.0,100700.0,2.0,24.2,POITIERS-BIARD,4.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-10T21:00:00+00:00,60.0,2.8,99.0,15560.0,0,150.0,100460.0,4.7,9.1,POITIERS-BIARD,4.300000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-01T12:00:00+00:00,190.0,7.6,98.0,2800.0,10,80.0,101150.0,10.9,0.0,POITIERS-BIARD,2.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-12T06:00:00+00:00,50.0,3.9,85.0,47700.0,0,450.0,102250.0,6.9,0.0,POITIERS-BIARD,0.8000000000000114,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-13T09:00:00+00:00,30.0,5.0,85.0,49250.0,0,,102400.0,8.0,0.0,POITIERS-BIARD,-0.8999999999999773,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-02T03:00:00+00:00,200.0,9.4,84.0,57960.0,0,4740.0,100460.0,13.1,0.0,POITIERS-BIARD,7.7000000000000455,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-05T18:00:00+00:00,180.0,8.5,74.0,60000.0,0,3480.0,98330.0,14.8,2.5,POITIERS-BIARD,12.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-09T00:00:00+00:00,220.0,8.5,93.0,59250.0,0,450.0,98640.0,12.8,12.0,POITIERS-BIARD,11.5,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-12T00:00:00+00:00,10.0,4.0,93.0,12310.0,0,250.0,102100.0,5.5,0.0,POITIERS-BIARD,-0.39999999999997726,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-02T06:00:00+00:00,200.0,10.1,88.0,38490.0,0,800.0,100280.0,13.7,0.0,POITIERS-BIARD,7.800000000000011,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
07335,2025-01-14T12:00:00+00:00,10.0,3.1,79.0,14780.0,0,,102080.0,4.6,0.0,POITIERS-BIARD,0.10000000000002274,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,1,2.500087253165825
